early_variant,split,label,feature,mean,std,median,q25,q75,min,max
earlyv0,train,0,early_integrity_score,0.7626469258589511,0.1859359116650747,0.8020833333333334,0.6703869047619049,0.8809523809523809,0.0479166666666666,0.9857142857142857
earlyv0,train,0,early_omission_risk_score,0.15446824141048818,0.1616258716029793,0.1088541666666666,0.0654761904761905,0.18276041666666665,0.0078571428571428,0.8836458333333335
earlyv0,train,1,early_integrity_score,0.549681855500821,0.20031221095676516,0.5535714285714286,0.4180059523809524,0.7245535714285716,0.1220238095238095,0.9404761904761906
earlyv0,train,1,early_omission_risk_score,0.32733015188834147,0.19797400286941552,0.2662946428571429,0.16090773809523806,0.45221726190476186,0.0327380952380951,0.8004910714285715
earlyv0,test,0,early_integrity_score,0.7179315476190476,0.17378002695320643,0.7446428571428572,0.5942708333333334,0.8470982142857144,0.3642857142857142,0.9571428571428572
earlyv0,test,0,early_omission_risk_score,0.1826376488095238,0.1481915984814628,0.1404464285714285,0.08409598214285707,0.2231510416666666,0.0235714285714285,0.5296428571428572
earlyv0,test,1,early_integrity_score,0.5898979591836736,0.18724516861675167,0.625297619047619,0.48869047619047623,0.7208333333333334,0.0910714285714285,0.8976190476190476
earlyv0,test,1,early_omission_risk_score,0.2898418367346938,0.19733165964042745,0.2060863095238095,0.15354166666666663,0.36720982142857145,0.0563095238095237,0.7783928571428572
earlyv1,train,0,early_integrity_score,0.7626469258589511,0.1859359116650747,0.8020833333333334,0.6703869047619049,0.8809523809523809,0.0479166666666666,0.9857142857142857
earlyv1,train,0,early_omission_risk_score,0.15446824141048818,0.1616258716029793,0.1088541666666666,0.0654761904761905,0.18276041666666665,0.0078571428571428,0.8836458333333335
earlyv1,train,0,early_content_efficiency,0.1609969460679844,0.03601390947780602,0.166812730788762,0.14965052279007457,0.18382222801581927,0.0133714004277902,0.2181217502296409
earlyv1,train,1,early_integrity_score,0.549681855500821,0.20031221095676516,0.5535714285714286,0.4180059523809524,0.7245535714285716,0.1220238095238095,0.9404761904761906
earlyv1,train,1,early_omission_risk_score,0.32733015188834147,0.19797400286941552,0.2662946428571429,0.16090773809523806,0.45221726190476186,0.0327380952380951,0.8004910714285715
earlyv1,train,1,early_content_efficiency,0.12036353995424322,0.04183706284110245,0.1199532526477507,0.09164165699426541,0.1589584417661613,0.0312872696413584,0.1921600804576253
earlyv1,test,0,early_integrity_score,0.7179315476190476,0.17378002695320643,0.7446428571428572,0.5942708333333334,0.8470982142857144,0.3642857142857142,0.9571428571428572
earlyv1,test,0,early_omission_risk_score,0.1826376488095238,0.1481915984814628,0.1404464285714285,0.08409598214285707,0.2231510416666666,0.0235714285714285,0.5296428571428572
earlyv1,test,0,early_content_efficiency,0.15749695235564665,0.033177214132272696,0.15897114285308184,0.13205579977992732,0.18366898684060573,0.0863805340313152,0.2189353997033708
earlyv1,test,1,early_integrity_score,0.5898979591836736,0.18724516861675167,0.625297619047619,0.48869047619047623,0.7208333333333334,0.0910714285714285,0.8976190476190476
earlyv1,test,1,early_omission_risk_score,0.2898418367346938,0.19733165964042745,0.2060863095238095,0.15354166666666663,0.36720982142857145,0.0563095238095237,0.7783928571428572
earlyv1,test,1,early_content_efficiency,0.13022929641620543,0.03966443061755584,0.138189172239681,0.1044247218612811,0.16275685409812268,0.0258258983832464,0.1787073189209505
